mpx5500_pressure_hpa,rh_temp_c,humidity_pct,lpl_signal,mpl_signal,spl_signal,ch4_conc_mol_m3,co2_conc_mol_m3,ch4_ppm,co2_ppm
1971.76,16.14,4.01,37137945,1452170,1211770,222.8905475636589,47110.21205409347,1.79608,379.62
1971.76,16.16,4.01,37139361,1452258,1211238,222.87513914033696,47106.95532518302,1.79608,379.62
1977.19,16.17,4.01,37141434,1452323,1211906,223.27288547089967,47191.02310724631,1.79608,379.62
1988.05,16.18,4.01,37141762,1451927,1213729,224.07604003712143,47360.77809390007,1.79608,379.62
1993.48,16.2,4.01,37144114,1451937,1213610,224.46595950817405,47443.19158862247,1.79608,379.62
1998.91,16.21,4.02,37144128,1451913,1213610,224.86359587862867,47527.23612948478,1.79608,379.62
2004.34,16.21,4.01,37149741,1452097,1214741,225.2689895741976,47612.92026087752,1.79608,379.62
2009.78,16.24,4.01,37151972,1452137,1215117,225.65173493808027,47693.8174341867,1.79608,379.62
2009.78,16.24,4.02,37155920,1452103,1214463,225.65173493808027,47693.8174341867,1.79608,379.62
2015.21,16.24,4.02,37162293,1452384,1216160,226.05708660797148,47779.492683019766,1.79608,379.62
2015.21,16.27,4.02,37161303,1452238,1217074,226.0336545279555,47774.54007165743,1.79608,379.62
2015.21,16.28,4.02,37160893,1452213,1217198,226.02584491407555,47772.88942935803,1.79608,379.62
2015.21,16.28,4.02,37163011,1452262,1217013,226.02584491407555,47772.88942935803,1.79608,379.62
2009.78,16.29,4.02,37163864,1452299,1220073,225.61275419337704,47685.57845245746,1.79608,379.62
2004.34,16.3,4.02,37164959,1452317,1218337,225.19894566657385,47598.11575984632,1.79608,379.62
2004.34,16.31,4.02,37167101,1452456,1219933,225.19116569885236,47596.47138356773,1.79608,379.62
2004.34,16.32,4.02,37166323,1452444,1219039,225.18338626866273,47594.827120902046,1.79608,379.62
2004.34,16.33,4.04,37167296,1452389,1219407,225.17560737594928,47593.18297183749,1.79608,379.62
2004.34,16.35,4.04,37169966,1452362,1220362,225.16005120272817,47589.89501446465,1.79608,379.62
2004.34,16.36,4.02,37169966,1452282,1219810,225.15227392210903,47588.25120613283,1.79608,379.62
2004.34,16.38,4.02,37174425,1452416,1220693,225.13672097257555,47584.96393011956,1.79608,379.62
2004.34,16.38,4.04,37175931,1452386,1221085,225.13672097257555,47584.96393011956,1.79608,379.62
2004.34,16.4,4.04,37174309,1452355,1220113,225.1211701716105,47581.677108228345,1.79608,379.62
2004.34,16.41,4.02,37175977,1452343,1220113,225.1133955767019,47580.03386754909,1.79608,379.62
2004.34,16.41,4.04,37177812,1452292,1225647,225.1133955767019,47580.03386754909,1.79608,379.62
2004.34,16.41,4.04,37179255,1452310,1222415,225.1133955767019,47580.03386754909,1.79608,379.62
2004.34,16.45,4.04,37181439,1452217,1218279,225.0823025662631,47573.46203966684,1.79608,379.62
2004.34,16.47,4.04,37185576,1452482,1224105,225.0667592817823,47570.17680646196,1.79608,379.62
2004.34,16.49,4.04,37187472,1452507,1217969,225.05121814386752,47566.89202695592,1.79608,379.62
2004.34,16.5,4.04,37190374,1452544,1224499,225.0434483797335,47565.2498073106,1.79608,379.62
2004.34,16.51,4.04,37191049,1452549,1224499,225.03567915207415,47563.607701054745,1.79608,379.62
2004.34,16.51,4.04,37193739,1452492,1225623,225.03567915207415,47563.607701054745,1.79608,379.62
2004.34,16.53,4.04,37193704,1452492,1223712,225.02014230595765,47560.323828664456,1.79608,379.62
2004.34,16.55,4.04,37193704,1452506,1226783,225.00460760507357,47557.040409691115,1.79608,379.62
2004.34,16.57,4.04,37197668,1452336,1226783,224.98907504897764,47553.75744404086,1.79608,379.62
2004.34,16.58,4.04,37201971,1452631,1227375,224.98130957508647,47552.11613118254,1.79608,379.62
2004.34,16.59,4.05,37202939,1452617,1228076,224.9735446372258,47550.474931619785,1.79608,379.62
